signguCode,signguNm,daywkDivCd,daywkDivNm,touDivCd,touDivNm,touNum,baseYmd
28177,미추홀구,7,일요일,3,외국인(c),1245.6699999999998,20250601
28185,연수구,7,일요일,1,현지인(a),233789.5,20250601
28185,연수구,7,일요일,2,외지인(b),148676.5,20250601
28185,연수구,7,일요일,3,외국인(c),3772.5,20250601
28200,남동구,7,일요일,1,현지인(a),219702.0,20250601
28200,남동구,7,일요일,2,외지인(b),160002.5,20250601
28200,남동구,7,일요일,3,외국인(c),2254.2900000000004,20250601
28237,부평구,7,일요일,1,현지인(a),226761.5,20250601
28237,부평구,7,일요일,2,외지인(b),138365.5,20250601
28237,부평구,7,일요일,3,외국인(c),2196.729999999999,20250601
28245,계양구,7,일요일,1,현지인(a),123259.5,20250601
28245,계양구,7,일요일,2,외지인(b),89362.0,20250601
28245,계양구,7,일요일,3,외국인(c),1686.12,20250601
28260,서구,7,일요일,1,현지인(a),337571.5,20250601
28260,서구,7,일요일,2,외지인(b),151249.0,20250601
28260,서구,7,일요일,3,외국인(c),2973.74,20250601
28710,강화군,7,일요일,1,현지인(a),51572.5,20250601
28710,강화군,7,일요일,2,외지인(b),74623.5,20250601
28710,강화군,7,일요일,3,외국인(c),869.5200000000003,20250601
28720,옹진군,7,일요일,1,현지인(a),10265.5,20250601
28720,옹진군,7,일요일,2,외지인(b),33785.5,20250601
28720,옹진군,7,일요일,3,외국인(c),6814.640000000001,20250601
29110,동구,7,일요일,1,현지인(a),66017.0,20250601
29110,동구,7,일요일,2,외지인(b),90209.0,20250601
29110,동구,7,일요일,3,외국인(c),457.80000000000007,20250601
29140,서구,7,일요일,1,현지인(a),168658.0,20250601
29140,서구,7,일요일,2,외지인(b),144298.0,20250601
29140,서구,7,일요일,3,외국인(c),833.5999999999999,20250601
29155,남구,7,일요일,1,현지인(a),59846.5,20250601
29155,남구,7,일요일,2,외지인(b),50533.0,20250601
29155,남구,7,일요일,3,외국인(c),277.41,20250601
29170,북구,7,일요일,1,현지인(a),247096.5,20250601
29170,북구,7,일요일,2,외지인(b),124439.0,20250601
29170,북구,7,일요일,3,외국인(c),778.64,20250601
29200,광산구,7,일요일,1,현지인(a),229834.5,20250601
29200,광산구,7,일요일,2,외지인(b),132692.0,20250601
29200,광산구,7,일요일,3,외국인(c),1490.8400000000004,20250601
30110,동구,7,일요일,1,현지인(a),92732.5,20250601
30110,동구,7,일요일,2,외지인(b),124600.0,20250601
30110,동구,7,일요일,3,외국인(c),824.3300000000003,20250601
30140,중구,7,일요일,1,현지인(a),118282.5,20250601
30140,중구,7,일요일,2,외지인(b),134190.0,20250601
30140,중구,7,일요일,3,외국인(c),496.58,20250601
30170,서구,7,일요일,1,현지인(a),255867.5,20250601
30170,서구,7,일요일,2,외지인(b),181863.5,20250601
30170,서구,7,일요일,3,외국인(c),797.2799999999999,20250601
30200,유성구,7,일요일,1,현지인(a),237125.0,20250601
30200,유성구,7,일요일,2,외지인(b),182707.0,20250601
30200,유성구,7,일요일,3,외국인(c),1217.2400000000002,20250601
30230,대덕구,7,일요일,1,현지인(a),73101.0,20250601
30230,대덕구,7,일요일,2,외지인(b),73423.0,20250601
30230,대덕구,7,일요일,3,외국인(c),383.53,20250601
31110,중구,7,일요일,1,현지인(a),104891.5,20250601
31110,중구,7,일요일,2,외지인(b),66087.0,20250601
31110,중구,7,일요일,3,외국인(c),421.43999999999994,20250601
31140,남구,7,일요일,1,현지인(a),192020.5,20250601
31140,남구,7,일요일,2,외지인(b),125041.0,20250601
31140,남구,7,일요일,3,외국인(c),3433.57,20250601
31170,동구,7,일요일,1,현지인(a),84574.0,20250601
31170,동구,7,일요일,2,외지인(b),45955.0,20250601
31170,동구,7,일요일,3,외국인(c),2548.2999999999997,20250601
31200,북구,7,일요일,1,현지인(a),115048.5,20250601
31200,북구,7,일요일,2,외지인(b),81487.0,20250601
31200,북구,7,일요일,3,외국인(c),5638.309999999999,20250601
31710,울주군,7,일요일,1,현지인(a),125496.0,20250601
31710,울주군,7,일요일,2,외지인(b),119357.0,20250601
31710,울주군,7,일요일,3,외국인(c),2628.7200000000003,20250601
36110,세종특별자치시,7,일요일,1,현지인(a),216450.5,20250601
36110,세종특별자치시,7,일요일,2,외지인(b),91385.0,20250601
36110,세종특별자치시,7,일요일,3,외국인(c),1004.1500000000001,20250601
41110,수원시,7,일요일,1,현지인(a),570535.0,20250601
41110,수원시,7,일요일,2,외지인(b),557630.5,20250601
41110,수원시,7,일요일,3,외국인(c),5460.87,20250601
41111,수원시 장안구,7,일요일,1,현지인(a),143829.0,20250601
41111,수원시 장안구,7,일요일,2,외지인(b),146492.5,20250601
41111,수원시 장안구,7,일요일,3,외국인(c),1530.2700000000002,20250601
41113,수원시 권선구,7,일요일,1,현지인(a),148781.5,20250601
41113,수원시 권선구,7,일요일,2,외지인(b),139958.0,20250601
41113,수원시 권선구,7,일요일,3,외국인(c),1126.2600000000002,20250601
41115,수원시 팔달구,7,일요일,1,현지인(a),114226.0,20250601
41115,수원시 팔달구,7,일요일,2,외지인(b),229145.0,20250601
41115,수원시 팔달구,7,일요일,3,외국인(c),3010.4900000000002,20250601
41117,수원시 영통구,7,일요일,1,현지인(a),174902.0,20250601
41117,수원시 영통구,7,일요일,2,외지인(b),153471.5,20250601
41117,수원시 영통구,7,일요일,3,외국인(c),1703.5899999999997,20250601
41130,성남시,7,일요일,1,현지인(a),514923.5,20250601
41130,성남시,7,일요일,2,외지인(b),376047.0,20250601
41130,성남시,7,일요일,3,외국인(c),3776.290000000001,20250601
41131,성남시 수정구,7,일요일,1,현지인(a),114240.0,20250601
41131,성남시 수정구,7,일요일,2,외지인(b),115269.0,20250601
41131,성남시 수정구,7,일요일,3,외국인(c),1139.5500000000002,20250601
